"Título","CNPJ","ENDEREÇO","MUNICÍPIO / UF","UNIDADE","INSC. MUNICIPAL","INSC. ESTADUAL","Anexos"
"SENAI-RJ","03.848.688/0001-52","Avenida Graça Aranha, 1 - 5º andar - sala 502 - Centro - CEP: 20.030-002","Rio de Janeiro / RJ","Sede da FIRJAN SENAI","02.214.857","Isento","1"
"SENAI-RJ","03.848.688/0002-33","Rua Galvão, 27 - Barreto - CEP: 24.110-260","Niterói / RJ","Senai Niterói (Barreto)","106.015-1","Isento","1"
"SENAI-RJ","03.848.688/0003-14","Rua Gerson Chernicharo, 1319 - Bairro da Luz - CEP: 26.263-150","Nova Iguaçu / RJ","Senai Nova Iguaçu","03496-7","Isento","1"
"SENAI-RJ","03.848.688/0004-03","Rua Bingen, 130 - Bingen - CEP: 25.660-003","Petrópolis / RJ","Senai Bingen ","68520","Isento","1"
"SENAI-RJ","03.848.688/0006-67","Rua Senhor do Bonfim, 130 - Saudade - CEP: 27.313-210","Barra Mansa / RJ","Senai Barra Mansa","522401","Isento","1"
"SENAI-RJ","03.848.688/0007-48","Rua São Francisco Xavier, 417 - Maracanã - CEP: 20.550-010","Rio de Janeiro / RJ","Senai Maracanã","0.211.509-3","Isento","1"
"SENAI-RJ","03.848.688/0008-29","Rua Morais e Silva, 53 -  Maracanã - CEP: 20.271-030","Rio de Janeiro / RJ","Tijuca","0.211.511-5","Isento","1"
"SENAI-RJ","03.848.688/0009-00","Praça Natividade Saldanha, 19 - Benfica - CEP: 20.911-210","Rio de Janeiro / RJ","IST Automação e Simulação","0.204.686-5","Isento","1"
"SENAI-RJ","03.848.688/0010-43","Rua Felipe Cardoso, 713 - Santa Cruz - CEP: 23.510-006","Rio de Janeiro / RJ","Senai Santa Cruz","0.210.680-9","Isento","1"
"SENAI-RJ","03.848.688/0011-24","Rua Bruno de Azevedo, 37 - Centro - CEP: 28.035-045","Campos dos Goytacazes / RJ","Senai Campos","53275","Isento","1"
"SENAI-RJ","03.848.688/0012-05","Avenida Deputado José de Cerqueira Garcia, 895 - Pres. Costa e Silva - CEP: 28.300-000","Itaperuna / RJ","Senai Itaperuna","7756-0","Isento","1"
"SENAI-RJ","03.848.688/0013-96","Rua Prefeito Eugenio Muller, 220 - Centro - CEP: 28.625-270","Nova Friburgo / RJ","Senai Nova Friburgo","1023605467-7","Isento","1"
